## DRUG_ID - name or ID of drug of interest - must be the same for all data points,,
## DepMap_ID - ID of cell line as identified by the Genomics of Drug Sensitivity in Cancer Project,,
## IC50 - half maximal inhibitory drug concentration for each cell line,,
##,,
DRUG_ID,DepMap_ID,IC50
Example drug,ACH-000886,0.057489383
Example drug,ACH-000677,0.092589642
Example drug,ACH-000669,0.119571113
Example drug,ACH-000408,0.053330227
Example drug,ACH-002213,0.131726036
Example drug,ACH-000210,0.005814043
Example drug,ACH-000518,0.023596993
Example drug,ACH-002097,0.591251383
Example drug,ACH-001049,0.308275628
Example drug,ACH-002222,0.010690369
Example drug,ACH-000703,0.012938046
Example drug,ACH-002235,0.031628015
Example drug,ACH-000563,0.016843861
Example drug,ACH-000305,0.047380146
Example drug,ACH-000585,0.426903622
Example drug,ACH-002139,0.072318305
Example drug,ACH-000472,0.012059314
Example drug,ACH-002247,0.005361508
Example drug,ACH-002145,0.00775965
Example drug,ACH-000396,0.083923467
Example drug,ACH-000858,0.080772881
Example drug,ACH-000265,0.037286647
Example drug,ACH-000823,0.351513205
Example drug,ACH-000809,2.163324156
Example drug,ACH-000637,8.751148947
Example drug,ACH-000784,6.798330042
Example drug,ACH-002265,1.9902873
Example drug,ACH-002266,0.053981926
Example drug,ACH-002155,0.014957282
Example drug,ACH-000627,0.240062013
Example drug,ACH-000787,0.17717878
Example drug,ACH-001131,0.077194968
Example drug,ACH-000892,2.817336683
Example drug,ACH-002177,0.598523793
Example drug,ACH-000030,0.200100208
Example drug,ACH-002197,0.010081704
Example drug,ACH-000363,0.023046117
Example drug,ACH-000353,0.017083555
Example drug,ACH-000626,0.274340841
Example drug,ACH-002217,0.07308384
Example drug,ACH-000259,0.013067514
Example drug,ACH-000099,0.012364572
Example drug,ACH-000647,0.284249473
Example drug,ACH-000452,0.076530418
Example drug,ACH-000354,0.025715663
Example drug,ACH-000001,0.765064603
Example drug,ACH-000090,0.362001834
Example drug,ACH-000979,0.042372912
Example drug,ACH-000002,0.010546291
Example drug,ACH-000551,0.138280783
Example drug,ACH-000367,3.409027295
Example drug,ACH-000900,0.073796277
Example drug,ACH-000343,0.187678854
Example drug,ACH-000649,0.030363866
Example drug,ACH-000555,0.591751793
Example drug,ACH-000681,0.041292103
Example drug,ACH-000046,0.016019493
Example drug,ACH-001738,0.007240811
Example drug,ACH-001190,0.715523383
Example drug,ACH-000730,0.076719988
Example drug,ACH-001127,0.009112082
Example drug,ACH-000811,0.305224716
Example drug,ACH-000817,0.016892442
Example drug,ACH-001665,0.004139928
Example drug,ACH-002172,0.266445649
Example drug,ACH-000966,0.066012049
Example drug,ACH-001151,2.247631511
Example drug,ACH-000706,4.705603347
Example drug,ACH-000861,0.078548265
Example drug,ACH-000825,0.243753454
Example drug,ACH-000750,0.037406455
Example drug,ACH-002159,0.051851573
Example drug,ACH-000425,0.02622225
Example drug,ACH-000579,2.298489114
Example drug,ACH-002195,0.460648961
Example drug,ACH-002199,0.252249147
Example drug,ACH-001208,1.834013986
Example drug,ACH-000232,0.039334078
Example drug,ACH-000273,0.024516939
Example drug,ACH-000655,0.068081416
Example drug,ACH-000617,3.204810621
Example drug,ACH-000696,0.04750758
Example drug,ACH-000535,0.233890084
Example drug,ACH-000191,0.036995167
Example drug,ACH-001016,0.066865911
Example drug,ACH-002216,0.030116141
Example drug,ACH-002210,0.009247334
Example drug,ACH-000880,0.038144717
Example drug,ACH-000528,0.204213962
Example drug,ACH-000788,0.023343703
Example drug,ACH-000219,0.010917197
Example drug,ACH-000740,0.062005016
Example drug,ACH-001306,0.298232767
Example drug,ACH-000896,0.012151508
